kernel,mode,A,B,C,dt,D,n_seeds,raw_nll,raw_nll_std,raw_nll_ci95_low,raw_nll_ci95_high,raw_ppl,raw_ppl_std,raw_ppl_ci95_low,raw_ppl_ci95_high,weighted_nll,weighted_nll_std,weighted_nll_ci95_low,weighted_nll_ci95_high,weighted_ppl,weighted_ppl_std,weighted_ppl_ci95_low,weighted_ppl_ci95_high,error
chebyshev,A_only,✓,✗,✗,✗,✗,10,5.345816412395726,0.43750099787315916,5.074650484548095,5.616982340243356,228.85463053354738,102.24564270304178,165.48212462674752,292.22713644034724,3.4346165718231916,0.30123474423472485,3.2479093429998303,3.621323800646553,32.32043754949313,9.83369491707905,26.225450293867805,38.41542480511845,
chebyshev,dt_only,✗,✗,✗,✓,✗,10,5.852237690166827,0.4227240317768845,5.590230620794375,6.11424475953928,377.2061127105695,159.7734564063158,278.1774984617801,476.23472695935897,3.9174018654912004,0.3696489722720912,3.6882910588156346,4.146512672166766,53.46612218036993,19.80755098233569,41.189274889448996,65.74296947129086,
chebyshev,BC_only,✗,✓,✓,✗,✗,10,4.587710125351741,0.3181434225241211,4.390522789147344,4.784897461556138,102.84278953560423,32.58050297331525,82.64918458052964,123.03639449067882,3.057954338349981,0.29623708599838555,2.8743446901934306,3.2415639865065313,22.144366716625562,6.589157495656092,18.06036458924808,26.228368844003043,
chebyshev,all_except_dt,✓,✓,✓,✗,✓,10,3.8084592591135538,0.26131651216540175,3.646493606857415,3.9704249113696926,46.496085035716874,12.235187035066536,38.912637544438226,54.07953252699552,2.5559064495324435,0.2494148949751425,2.401317496035789,2.710495403029098,13.250408161654974,3.324739236134951,11.189713433641266,15.311102889668682,
chebyshev,D_only,✗,✗,✗,✗,✓,10,5.835163468111238,0.4220216343752724,5.573591749158675,6.096735187063802,370.8523023386135,158.00505566818418,272.91975422291415,468.7848504543129,3.8959544870917995,0.3671840895685392,3.6683714305438757,4.123537543639723,52.286129257524045,19.216371814049307,40.37569861130079,64.1965599037473,
chebyshev,none,✗,✗,✗,✗,✗,10,5.94811155880153,0.41115566676123394,5.693274636350796,6.202948481252265,413.39202978556284,170.69566001667863,307.5937636033087,519.1902959678171,4.002575689234495,0.3817505438486819,3.7659642507868107,4.239187127682179,58.46395383395977,22.405706778165662,44.57675289700398,72.35115477091557,
dct,full,✓,✓,✓,✓,✓,10,3.709609521092986,0.2438513113013998,3.5584689124832742,3.860750129702698,41.94363859055806,10.17637617191265,35.63625529269586,48.25102188842026,2.55195159287184,0.22322688547226313,2.413594135828571,2.690309049915109,13.125941122125997,2.972027193205285,11.28385958322274,14.968022661029254,
dct,all_except_A,✗,✓,✓,✓,✓,10,4.314060117303749,0.31420735411215067,4.119312381576133,4.5088078530313656,78.13903075128681,24.533657989702622,62.93291198900939,93.34514951356424,2.802484385152757,0.22660752720824875,2.662031584653095,2.942937185652419,16.873047844869767,3.855057601992366,14.48365838831499,19.262437301424544,
dct,A_only,✓,✗,✗,✗,✗,10,5.0917005189933295,0.3826200472074093,4.854550156780483,5.328850881206176,173.5441511299715,64.35621303346903,133.65575703529137,213.43254522465165,3.2424366828487146,0.23970070265867824,3.093868648128451,3.391004717568978,26.27258771981493,6.379822975154845,22.318332472463347,30.22684296716651,
dct,dt_only,✗,✗,✗,✓,✗,10,5.900452334787721,0.39328316923207174,5.656692901071891,6.14421176850355,391.2851831790252,151.01555375905656,297.68477322894176,484.8855931291086,3.9874784870084667,0.3370031980542997,3.778601740824434,4.1963552331925,56.77252364294551,19.38219037085328,44.75931759042903,68.78572969546198,
dct,BC_only,✗,✓,✓,✗,✗,10,4.73656668174969,0.339263086706284,4.5262892420675245,4.946844121431856,120.05157728250099,40.12709817019905,95.18054416474422,144.92261040025775,3.0542473109523636,0.23615376693303236,2.907877689771124,3.2006169321336033,21.747412516891483,5.181367139191578,18.53596789242585,24.958857141357115,
dct,all_except_dt,✓,✓,✓,✗,✓,10,3.753133393688844,0.24159535481748107,3.6033910413942483,3.9028757459834393,43.788840308548366,10.537830517023206,37.257425286546244,50.32025533055049,2.589191631329684,0.22956786741927857,2.4469039929577177,2.7314792697016506,13.64182646996844,3.177618768728546,11.67231795237156,15.611334987565318,
dct,D_only,✗,✗,✗,✗,✓,10,5.755279253702673,0.37851983802852607,5.520670227467953,5.989888279937393,336.7831520612782,125.90163597942235,258.74850961734796,414.81779450520844,3.8960478828774407,0.3311715464368222,3.6907856318132475,4.101310133941634,51.718974251428754,17.334351977655366,40.97503158499147,62.46291691786604,
dct,none,✗,✗,✗,✗,✗,10,5.906109619529729,0.40017272593269904,5.6580799943303,6.154139244729158,394.3659810089472,153.89410826615122,298.98142449103676,489.7505375268576,3.9964668649737822,0.33089039804201414,3.791378871490055,4.201554858457509,57.1807337747977,19.18275800511273,45.29113718320081,69.07033036639459,
